Name,team,position,cap_hit,mp_value,role_cluster
Blake Coleman,CGY,L,4900000.0,0.0364238182257007,4
Charlie Coyle,COL,C,5250000.0,0.0227002493883484,2
Trevor Moore,LAK,L,4200000.0,0.043045510181373,3
Brady Tkachuk,OTT,L,8205714.0,0.0518543903739243,5
Valeri Nichushkin,COL,R,6125000.0,0.0477134834769973,5
Jaden Schwartz,SEA,C,5500000.0,0.0341042457714877,5
Morgan Frost,CGY,C,2100000.0,0.0297371067375377,1
Jake Evans,MTL,C,1700000.0,0.0249255135643719,3
Frederick Gaudreau,MIN,C,2100000.0,0.0204087989098695,3
Dawson Mercer,NJD,C,4000000.0,0.0265130076033959,3
Barrett Hayton,UTA,C,2650000.0,0.0480339312538658,3
Wyatt Johnston,DAL,C,894167.0,0.0404403157386028,5
Zach Hyman,EDM,L,5500000.0,0.0505967279718504,5
Brandon Hagel,TBL,L,6500000.0,0.0550751050883329,0
Ryan Nugent-Hopkins,EDM,C,5125000.0,0.0382665300192582,3
Connor McDavid,EDM,C,12500000.0,0.0745816679086782,0
Tyson Foerster,PHI,R,863334.0,0.0282824092151503,3
Tyler Toffoli,SJS,C,6000000.0,0.0430897387353275,5
Travis Sanheim,PHI,D,6250000.0,0.0159164267281794,2
Mikael Backlund,CGY,C,4500000.0,0.0304564606741573,3
Ridly Greig,OTT,C,863334.0,0.0204468686666499,4
Jake DeBrusk,VAN,L,5500000.0,0.0318260614791122,3
Will Smith,SJS,C,950000.0,0.0293666354104509,3
Jack Roslovic,CAR,C,2800000.0,0.0474401155260454,3
Aliaksei Protas,WSH,C,3375000.0,0.0552825159914712,0
Dylan Cozens,OTT,C,7100000.0,0.032302028854287,4
Ivan Provorov,CBJ,D,6750000.0,0.0159528637696799,2
Marcus Johansson,MIN,L,2000000.0,0.0250254323499491,3
Rasmus Andersson,CGY,D,4550000.0,0.0191321803582458,2
Ilya Mikheyev,CHI,R,4750000.0,0.0228840250368775,3
Jesper Bratt,NJD,L,7875000.0,0.0537659629919207,0
Tomas Hertl,VGK,C,8137500.0,0.0525883341558736,5
Pius Suter,VAN,C,1600000.0,0.0298960755469083,3
Mason Lohrei,BOS,D,925000.0,0.015562477138455,2
Mats Zuccarello,MIN,R,4125000.0,0.0356488934219742,1
Neal Pionk,WPG,D,5875000.0,0.0283349209999014,2
Max Domi,TOR,C,3750000.0,0.0225047679593134,1
Mattias Ekholm,EDM,D,6250000.0,0.0406723271530064,2
Robert Thomas,STL,C,8125000.0,0.0524026531780874,0
Moritz Seider,DET,D,8550000.0,0.0248064529204329,2
Jack Hughes,NJD,C,8000000.0,0.0610564494347339,0
Jared Spurgeon,MIN,D,7575000.0,0.0278048057688983,2
Jonathan Huberdeau,CGY,L,10500000.0,0.0401415124139238,3
Alex Killorn,ANA,L,6250000.0,0.0270359302571825,3
Mason McTavish,ANA,C,894167.0,0.0322638493625979,5
Matvei Michkov,PHI,R,950000.0,0.041183742273834,0
Logan Stankoven,CAR,C,814167.0,0.0446514788961728,5
Ryan Donato,CHI,C,2000000.0,0.03619896786061,5
Thomas Harley,DAL,D,4000000.0,0.0336766305092799,2
Connor McMichael,WSH,C,2100000.0,0.0397446129289704,5
Elias Lindholm,BOS,C,7750000.0,0.0327782962121808,3
Dylan Guenther,UTA,R,894176.0,0.0545974113296352,5
Shane Wright,SEA,C,886666.0,0.0315012821858644,3
Colton Parayko,STL,D,6500000.0,0.0248196469685341,2
Kyle Palmieri,NYI,C,5000000.0,0.0273655323819978,3
Yegor Sharangovich,CGY,C,3100000.0,0.0314954154845606,3
Alex DeBrincat,DET,R,7875000.0,0.0499442713190637,5
Roope Hintz,DAL,C,8450000.0,0.0473307021188201,0
Pavel Dorofeyev,VGK,L,1835000.0,0.0483181857313278,5
Jordan Martinook,CAR,L,3050000.0,0.0468623286348715,3
Jared McCann,SEA,L,5000000.0,0.0408776881561699,5
Kiefer Sherwood,VAN,L,1500000.0,0.0353467946786068,4
Dougie Hamilton,NJD,D,9000000.0,0.0391102484064737,1
Matt Boldy,MIN,L,7000000.0,0.0453886072652227,5
Pavel Zacha,BOS,C,4750000.0,0.0261464808555556,3
Adam Fox,NYR,D,9500000.0,0.0423037054976992,1
Noah Dobson,NYI,D,4000000.0,0.0327113173290296,2
Marco Kasper,DET,C,886666.0,0.0331087233655071,4
Vladimir Tarasenko,DET,R,4750000.0,0.0218695382533686,3
Bowen Byram,BUF,D,3850000.0,0.0192621115787588,2
Phillip Danault,LAK,C,5500000.0,0.0424509619011693,1
Carter Verhaeghe,FLA,C,4166667.0,0.0487978444106673,5
Alex Laferriere,LAK,R,875000.0,0.0480223103813975,4
Mika Zibanejad,NYR,C,8500000.0,0.0357747180726024,3
Darnell Nurse,EDM,D,9250000.0,0.0279675721245747,2
Kirill Marchenko,CBJ,R,3850000.0,0.0553244630125789,0
Quinn Hughes,VAN,D,7850000.0,0.0485658490116694,1
Eric Robinson,CAR,L,950000.0,0.0502378781599668,4
William Eklund,SJS,L,863333.0,0.0365568544102019,3
Jason Zucker,BUF,L,5000000.0,0.0398783777996659,5
