playerId,season,Name,team,position,situation,games_played,icetime,shifts,ppTimeOnIce,pkTimeOnIce,powerPlayIcetime,shortHandedIcetime,pp_toi,pk_toi,I_F_goals,I_F_primaryAssists,I_F_secondaryAssists,I_F_points,I_F_shotsOnGoal,I_F_xGoals,I_F_hits,I_F_takeaways,I_F_giveaways,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,gameScore,icetime_minutes,gs_per_game,gs_per60,mp_value,I_F_goals_per60,I_F_primaryAssists_per60,I_F_secondaryAssists_per60,I_F_points_per60,I_F_shotsOnGoal_per60,I_F_xGoals_per60,I_F_hits_per60,I_F_takeaways_per60,I_F_giveaways_per60,Name_norm,CapHit,Pos,Length,Start Year
8482153,2024,Brendan Brisson,VGK,C,,9,5328,122,0,0,0,0,0,0,0,0,0,0,7,0.55,9,1,1,0.38,0.43,0.41,-1.13,88.8,-0.1255555555555555,-0.0127252252252252,-0.0127252252252252,0.0,0.0,0.0,0.0,0.0788288288288288,0.0061936936936936,0.1013513513513513,0.0112612612612612,0.0112612612612612,BRENDAN BRISSON,,,,
8477407,2024,Anthony Duclair,NYI,L,,44,39710,861,0,0,0,0,0,0,7,4,0,11,60,6.61,26,9,43,0.5,0.53,0.53,11.54,661.8333333333334,0.2622727272727272,0.0174364140015109,0.0174364140015109,0.0105766809367917,0.0060438176781667,0.0,0.0166204986149584,0.0906572651725006,0.0099874087131704,0.0392848149080836,0.013598589775875,0.0649710400402921,ANTHONY DUCLAIR,3500000.0,C,4.0,2024-25
8476872,2024,Scott Laughton,TOR,C,,80,70082,1610,0,0,0,0,0,0,13,12,6,31,125,17.85,178,19,59,0.44,0.41,0.44,19.1,1168.0333333333333,0.23875,0.0163522730515681,0.0163522730515681,0.0111298193544704,0.0102736794041265,0.0051368397020632,0.0265403384606603,0.1070174937929853,0.0152820981136383,0.1523929111612111,0.0162666590565337,0.050512257070289,SCOTT LAUGHTON,3000000.0,C,5.0,2021-22
8477989,2024,Christian Dvorak,MTL,C,,82,74999,1641,0,0,0,0,0,0,12,15,6,33,104,15.97,44,18,66,0.43,0.4,0.4,25.92,1249.9833333333331,0.3160975609756097,0.0207362764836864,0.0207362764836864,0.0096001280017066,0.0120001600021333,0.0048000640008533,0.0264003520046933,0.0832011093481246,0.0127761703489379,0.0352004693395911,0.01440019200256,0.0528007040093867,CHRISTIAN DVORAK,4450000.0,C,6.0,2019-20
8473422,2024,Nick Foligno,CHI,L,,78,74528,1588,0,0,0,0,0,0,15,11,9,35,104,16.26,200,16,50,0.41,0.42,0.42,23.63,1242.1333333333334,0.3029487179487179,0.0190237226277372,0.0190237226277372,0.0120759982825246,0.0088557320738514,0.0072455989695148,0.0281773293258909,0.0837269214255045,0.0130903821382567,0.1610133104336625,0.012881064834693,0.0402533276084156,NICK FOLIGNO,4500000.0,L,2.0,2024-25
8480840,2024,Oskar Bck,DAL,C,,73,51262,1171,0,0,0,0,0,0,4,9,3,16,44,8.24,28,12,54,0.41,0.46,0.43,17.92,854.3666666666667,0.2454794520547945,0.0209746010690179,0.0209746010690179,0.0046818305957629,0.0105341188404666,0.0035113729468222,0.0187273223830517,0.0515001365533923,0.0096445710272716,0.0327728141703406,0.0140454917872888,0.0632047130427997,OSKAR BCK,,,,
8482671,2024,Owen Power,BUF,D,,79,101018,2100,0,0,0,0,0,0,7,16,17,40,139,7.71,26,26,73,0.48,0.52,0.51,44.43,1683.6333333333334,0.5624050632911393,0.0263893563523332,0.0263893563523332,0.0041576748698251,0.0095032568453146,0.0100972103981468,0.0237581421132867,0.0825595438436714,0.004579381892336,0.0154427923736363,0.0154427923736363,0.0433586093567483,OWEN POWER,8350000.0,D,7.0,2024-25
8482077,2024,Dylan Holloway,STL,L,,77,77729,1570,0,0,0,0,0,0,26,21,16,63,178,20.34,165,34,69,0.58,0.55,0.55,66.64,1295.4833333333331,0.8654545454545455,0.0514402603918743,0.0514402603918743,0.0200697294446088,0.0162101660898763,0.0123506027351438,0.0486304982696291,0.1374004554284758,0.0157007037270516,0.1273655907061714,0.0262450308121807,0.053261974295308,DYLAN HOLLOWAY,2290457.0,C,2.0,2024-25
8474600,2024,Roman Josi,NSH,D,,53,79603,1441,0,0,0,0,0,0,9,19,10,38,150,13.44,42,23,75,0.54,0.58,0.57,49.0,1326.7166666666667,0.9245283018867924,0.0369332814089921,0.0369332814089921,0.0067836639322638,0.0143210683014459,0.007537404369182,0.0286421366028918,0.1130610655377309,0.0101302714721806,0.0316570983505646,0.0173360300491187,0.0565305327688654,ROMAN JOSI,9059000.0,D,8.0,2020-21
8475750,2024,Jon Merrill,MIN,D,,70,59199,1220,0,0,0,0,0,0,2,2,2,6,47,1.93,41,14,64,0.39,0.42,0.43,1.62,986.65,0.0231428571428571,0.0016419196270207,0.0016419196270207,0.0020270612679268,0.0020270612679268,0.0020270612679268,0.0060811838037804,0.0476359397962803,0.0019561141235493,0.0415547559924998,0.0141894288754877,0.0648659605736583,JON MERRILL,1200000.0,D,3.0,2022-23
8482201,2024,Gage Goncalves,TBL,C,,60,46057,1041,0,0,0,0,0,0,8,8,4,20,61,7.77,71,18,35,0.53,0.5,0.51,19.68,767.6166666666667,0.328,0.0256377966432898,0.0256377966432898,0.0104218685541828,0.0104218685541828,0.0052109342770914,0.0260546713854571,0.0794667477256443,0.0101222398332501,0.0924940834183728,0.0234492042469114,0.04559567492455,GAGE GONCALVES,775000.0,C,1.0,2024-25
8482684,2024,Luke Hughes,NJD,D,,71,90133,1709,0,0,0,0,0,0,7,21,16,44,121,7.92,19,33,86,0.55,0.55,0.53,46.37,1502.2166666666667,0.6530985915492957,0.0308677177060566,0.0308677177060566,0.0046597805465256,0.013979341639577,0.0106509269634872,0.02929004914959,0.0805476351613726,0.0052722088469262,0.0126479757691411,0.0219675368621925,0.0572487324287441,LUKE HUGHES,925000.0,D,3.0,2022-23
8481006,2024,Tyler Tucker,STL,D,,38,33235,726,0,0,0,0,0,0,3,1,3,7,33,1.15,81,13,28,0.47,0.47,0.47,8.73,553.9166666666666,0.2297368421052631,0.0157604934556943,0.0157604934556943,0.0054159771325409,0.0018053257108469,0.0054159771325409,0.0126372799759289,0.0595757484579509,0.002076124567474,0.1462313825786069,0.0234692342410109,0.0505491199037159,TYLER TUCKER,800000.0,D,2.0,2023-24
8477015,2024,Connor Brown,EDM,R,,82,68928,1458,0,0,0,0,0,0,13,7,10,30,123,15.01,19,26,55,0.48,0.46,0.47,29.26,1148.8,0.3568292682926829,0.0254700557103064,0.0254700557103064,0.0113161559888579,0.0060933147632311,0.0087047353760445,0.0261142061281337,0.1070682451253482,0.0130658077994428,0.0165389972144846,0.0226323119777158,0.0478760445682451,CONNOR BROWN,1000000.0,R,1.0,2024-25
8480891,2024,Michael Kesselring,UTA,D,,82,87018,2047,0,0,0,0,0,0,7,16,6,29,150,6.8,87,22,84,0.52,0.54,0.54,44.5,1450.3,0.5426829268292683,0.0306833069020202,0.0306833069020202,0.0048265876025649,0.0110322002344342,0.0041370750879128,0.019995862924912,0.1034268771978211,0.0046886850996345,0.0599875887747362,0.0151692753223471,0.0579190512307798,MICHAEL KESSELRING,1400000.0,D,2.0,2024-25
8478366,2024,Frank Vatrano,ANA,R,,81,85270,1773,0,0,0,0,0,0,21,8,16,45,234,28.9,169,13,52,0.53,0.52,0.52,45.63,1421.1666666666667,0.5633333333333334,0.0321074234783628,0.0321074234783628,0.0147765920018763,0.0056291779054767,0.0112583558109534,0.0316641257183065,0.164653453735194,0.0203354051835346,0.1189163832531957,0.0091474140963996,0.0365896563855986,FRANK VATRANO,3650000.0,C,3.0,2022-23
8477944,2024,Jakub Vrana,NSH,L,,39,24220,526,0,0,0,0,0,0,9,3,2,14,47,4.99,19,6,21,0.44,0.48,0.48,9.87,403.6666666666667,0.253076923076923,0.0244508670520231,0.0244508670520231,0.0222956234516928,0.0074318744838976,0.004954582989265,0.0346820809248554,0.1164327002477291,0.0123616845582163,0.0470685383980181,0.0148637489677952,0.0520231213872832,JAKUB VRANA,775000.0,L,1.0,2024-25
8482122,2024,Brock Faber,MIN,D,,78,119457,2126,0,0,0,0,0,0,10,6,13,29,124,6.39,36,29,109,0.48,0.46,0.46,22.5,1990.95,0.2884615384615384,0.0113011376478565,0.0113011376478565,0.0050227278434918,0.003013636706095,0.0065295461965393,0.0145659107461262,0.0622818252592983,0.0032095230919912,0.0180818202365704,0.0145659107461262,0.0547477334940606,BROCK FABER,925000.0,D,3.0,2022-23
