playerId,season,name,team,position,situation,games_played,icetime,shifts,ppTimeOnIce,pkTimeOnIce,powerPlayIcetime,shortHandedIcetime,pp_toi,pk_toi,I_F_goals,I_F_primaryAssists,I_F_secondaryAssists,I_F_points,I_F_shotsOnGoal,I_F_xGoals,I_F_hits,I_F_takeaways,I_F_giveaways,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,gameScore,icetime_minutes,gs_per_game,gs_per60,mp_value,I_F_goals_per60,I_F_primaryAssists_per60,I_F_secondaryAssists_per60,I_F_points_per60,I_F_shotsOnGoal_per60,I_F_xGoals_per60,I_F_hits_per60,I_F_takeaways_per60,I_F_giveaways_per60
8473422,2024,Nick Foligno,CHI,L,,78,74528,1588,0,0,0,0,0,0,15,11,9,35,104,16.26,200,16,50,0.41,0.42,0.42,23.63,1242.1333333333334,0.3029487179487179,0.019023722627737223,0.019023722627737223,0.012075998282524687,0.008855732073851437,0.007245598969514813,0.028177329325890937,0.0837269214255045,0.013090382138256763,0.16101331043366252,0.012881064834693,0.04025332760841563
8480840,2024,Oskar Bck,DAL,C,,73,51262,1171,0,0,0,0,0,0,4,9,3,16,44,8.24,28,12,54,0.41,0.46,0.43,17.92,854.3666666666667,0.24547945205479454,0.020974601069017988,0.020974601069017988,0.004681830595762943,0.010534118840466622,0.0035113729468222075,0.018727322383051772,0.051500136553392376,0.009644571027271663,0.0327728141703406,0.01404549178728883,0.06320471304279973
8482671,2024,Owen Power,BUF,D,,79,101018,2100,0,0,0,0,0,0,7,16,17,40,139,7.71,26,26,73,0.48,0.52,0.51,44.43,1683.6333333333334,0.5624050632911393,0.026389356352333245,0.026389356352333245,0.004157674869825179,0.009503256845314697,0.010097210398146865,0.02375814211328674,0.08255954384367142,0.004579381892336019,0.01544279237363638,0.01544279237363638,0.0433586093567483
8482077,2024,Dylan Holloway,STL,L,,77,77729,1570,0,0,0,0,0,0,26,21,16,63,178,20.34,165,34,69,0.58,0.55,0.55,66.64,1295.4833333333333,0.8654545454545455,0.05144026039187433,0.05144026039187433,0.020069729444608834,0.016210166089876365,0.012350602735143898,0.0486304982696291,0.13740045542847587,0.01570070372705168,0.12736559070617143,0.02624503081218078,0.05326197429530806
8474600,2024,Roman Josi,NSH,D,,53,79603,1441,0,0,0,0,0,0,9,19,10,38,150,13.44,42,23,75,0.54,0.58,0.57,49.0,1326.7166666666667,0.9245283018867925,0.03693328140899212,0.03693328140899212,0.0067836639322638595,0.014321068301445925,0.007537404369182066,0.02864213660289185,0.11306106553773099,0.010130271472180695,0.031657098350564676,0.017336030049118753,0.056530532768865493
8475750,2024,Jon Merrill,MIN,D,,70,59199,1220,0,0,0,0,0,0,2,2,2,6,47,1.93,41,14,64,0.39,0.42,0.43,1.62,986.65,0.023142857142857146,0.001641919627020727,0.001641919627020727,0.0020270612679268232,0.0020270612679268232,0.0020270612679268232,0.00608118380378047,0.04763593979628034,0.0019561141235493844,0.04155475599249987,0.014189428875487763,0.06486596057365834
8482201,2024,Gage Goncalves,TBL,C,,60,46057,1041,0,0,0,0,0,0,8,8,4,20,61,7.77,71,18,35,0.53,0.5,0.51,19.68,767.6166666666667,0.328,0.025637796643289835,0.025637796643289835,0.01042186855418286,0.01042186855418286,0.00521093427709143,0.02605467138545715,0.07946674772564431,0.010122239833250102,0.09249408341837288,0.023449204246911437,0.045595674924550016
8482684,2024,Luke Hughes,NJD,D,,71,90133,1709,0,0,0,0,0,0,7,21,16,44,121,7.92,19,33,86,0.55,0.55,0.53,46.37,1502.2166666666667,0.6530985915492957,0.0308677177060566,0.0308677177060566,0.00465978054652569,0.01397934163957707,0.010650926963487291,0.02929004914959005,0.08054763516137263,0.005272208846926209,0.012647975769141158,0.02196753686219254,0.05724873242874419
8481006,2024,Tyler Tucker,STL,D,,38,33235,726,0,0,0,0,0,0,3,1,3,7,33,1.15,81,13,28,0.47,0.47,0.47,8.73,553.9166666666666,0.22973684210526316,0.0157604934556943,0.0157604934556943,0.005415977132540996,0.0018053257108469989,0.005415977132540996,0.012637279975928992,0.05957574845795096,0.0020761245674740486,0.1462313825786069,0.023469234241010984,0.05054911990371597
8477015,2024,Connor Brown,EDM,R,,82,68928,1458,0,0,0,0,0,0,13,7,10,30,123,15.01,19,26,55,0.48,0.46,0.47,29.26,1148.8,0.35682926829268297,0.02547005571030641,0.02547005571030641,0.01131615598885794,0.006093314763231198,0.008704735376044569,0.026114206128133706,0.1070682451253482,0.013065807799442898,0.01653899721448468,0.02263231197771588,0.047876044568245124
8480891,2024,Michael Kesselring,UTA,D,,82,87018,2047,0,0,0,0,0,0,7,16,6,29,150,6.8,87,22,84,0.52,0.54,0.54,44.5,1450.3,0.5426829268292683,0.03068330690202027,0.03068330690202027,0.004826587602564987,0.011032200234434256,0.004137075087912846,0.019995862924912088,0.10342687719782115,0.004688685099634558,0.05998758877473626,0.015169275322347102,0.05791905123077984
8478366,2024,Frank Vatrano,ANA,R,,81,85270,1773,0,0,0,0,0,0,21,8,16,45,234,28.9,169,13,52,0.53,0.52,0.52,45.63,1421.1666666666667,0.5633333333333334,0.032107423478362845,0.032107423478362845,0.014776592001876391,0.0056291779054767205,0.011258355810953441,0.031664125718306554,0.16465345373519408,0.020335405183534654,0.11891638325319573,0.00914741409639967,0.03658965638559868
8477944,2024,Jakub Vrana,NSH,L,,39,24220,526,0,0,0,0,0,0,9,3,2,14,47,4.99,19,6,21,0.44,0.48,0.48,9.87,403.6666666666667,0.25307692307692303,0.02445086705202312,0.02445086705202312,0.022295623451692816,0.007431874483897605,0.00495458298926507,0.03468208092485549,0.11643270024772914,0.01236168455821635,0.04706853839801817,0.01486374896779521,0.05202312138728323
8482122,2024,Brock Faber,MIN,D,,78,119457,2126,0,0,0,0,0,0,10,6,13,29,124,6.39,36,29,109,0.48,0.46,0.46,22.5,1990.95,0.28846153846153844,0.01130113764785655,0.01130113764785655,0.0050227278434918,0.00301363670609508,0.00652954619653934,0.014565910746126221,0.062281825259298325,0.0032095230919912602,0.01808182023657048,0.014565910746126221,0.054747733494060626
8478864,2024,Kirill Kaprizov,MIN,L,,41,55269,846,0,0,0,0,0,0,25,22,9,56,145,20.38,16,12,59,0.62,0.59,0.59,57.65,921.15,1.4060975609756097,0.06258481246268252,0.06258481246268252,0.027139988058405257,0.023883189491396624,0.009770395701025891,0.06079357325082777,0.15741193073875048,0.022124518265211963,0.017369592357379362,0.013027194268034522,0.0640503718178364
8481563,2024,Drew Helleson,ANA,D,,56,54940,1166,0,0,0,0,0,0,4,6,3,13,63,2.37,99,17,47,0.38,0.41,0.4,5.12,915.6666666666666,0.09142857142857143,0.005591554423006917,0.005591554423006917,0.004368401892974154,0.006552602839461231,0.0032763014197306154,0.014197306152166,0.06880232981434292,0.0025882781215871863,0.1081179468511103,0.018565708045140152,0.051328722242446306
8476461,2024,Sean Couturier,PHI,C,,79,81972,1654,0,0,0,0,0,0,15,19,11,45,155,20.57,54,28,78,0.55,0.52,0.53,44.22,1366.2,0.5597468354430379,0.0323671497584541,0.0323671497584541,0.010979358805445762,0.013907187820231297,0.008051529790660225,0.03293807641633729,0.11345337432293953,0.015056360708534621,0.039525691699604744,0.020494803103498754,0.05709266578831796
8471685,2024,Anze Kopitar,LAK,C,,81,92125,1769,0,0,0,0,0,0,21,29,17,67,98,15.44,31,30,65,0.55,0.55,0.54,65.61,1535.4166666666667,0.8099999999999999,0.042731071913161466,0.042731071913161466,0.013677069199457258,0.018887381275440977,0.0110719131614654,0.04363636363636363,0.06382632293080054,0.010055902306648575,0.020189959294436906,0.01953867028493894,0.042333785617367704
8482142,2024,Jamie Drysdale,PHI,D,,70,83651,1763,0,0,0,0,0,0,7,5,8,20,63,3.58,18,20,73,0.53,0.51,0.52,11.23,1394.1833333333334,0.16042857142857145,0.008054894741246368,0.008054894741246368,0.005020860479850809,0.003586328914179149,0.005738126262686639,0.014345315656716595,0.045187744318657276,0.0025678115025522708,0.012910784091044935,0.014345315656716595,0.052360402147015574
8476906,2024,Shayne Gostisbehere,CAR,D,,70,77788,1422,0,0,0,0,0,0,7,12,26,45,122,9.39,41,36,76,0.65,0.68,0.67,63.2,1296.4666666666667,0.9028571428571429,0.04874787885020826,0.04874787885020826,0.005399290378978763,0.009255926363963593,0.020054507121921118,0.03470972386486348,0.09410191803362987,0.007242762379801512,0.03162441507687561,0.02776777909189078,0.05862086697176942
8483495,2024,Simon Nemec,NJD,D,,27,24269,516,0,0,0,0,0,0,2,0,2,4,26,1.25,2,5,24,0.42,0.46,0.44,-0.15,404.48333333333335,-0.005555555555555556,-0.00037084346285384644,-0.00037084346285384644,0.0049445795047179525,0.0,0.0049445795047179525,0.009889159009435905,0.06427953356133338,0.0030903621904487203,0.0049445795047179525,0.012361448761794881,0.05933495405661543
8483482,2024,Tristan Luneau,ANA,D,,6,5960,116,0,0,0,0,0,0,0,0,0,0,6,0.21,5,1,6,0.34,0.38,0.37,-2.25,99.33333333333333,-0.375,-0.022651006711409398,-0.022651006711409398,0.0,0.0,0.0,0.0,0.06040268456375839,0.002114093959731544,0.05033557046979866,0.010067114093959733,0.06040268456375839
8476391,2024,T.J. Tynan,COL,C,,9,4243,111,0,0,0,0,0,0,0,0,1,1,5,0.29,5,0,5,0.51,0.62,0.61,1.76,70.71666666666667,0.19555555555555557,0.024888050907376856,0.024888050907376856,0.0,0.0,0.014140938015555032,0.014140938015555032,0.07070469007777516,0.0041008720245109586,0.07070469007777516,0.0,0.07070469007777516
8481605,2024,Jackson LaCombe,ANA,D,,75,100353,1961,0,0,0,0,0,0,14,18,11,43,134,10.27,69,35,78,0.48,0.49,0.5,43.54,1672.55,0.5805333333333333,0.026032106663477925,0.026032106663477925,0.008370452303369108,0.010762010104331709,0.006576783952647156,0.025709246360347972,0.08011718633224717,0.00614032465397148,0.041254372066604886,0.020926130758422767,0.04663537711877074
8481601,2024,Simon Holmstrom,NYI,R,,75,75892,1622,0,0,0,0,0,0,20,17,8,45,96,14.72,27,13,48,0.45,0.48,0.5,42.42,1264.8666666666666,0.5656,0.03353713171348759,0.03353713171348759,0.015811943287830074,0.013440151794655564,0.00632477731513203,0.03557687239761767,0.07589732778158437,0.011637590259842937,0.0213461234385706,0.010277763137089549,0.037948663890792184
8482691,2024,Aatu Raty,VAN,C,,33,21101,544,0,0,0,0,0,0,7,2,2,11,34,3.7,80,2,8,0.47,0.52,0.49,11.34,351.68333333333334,0.34363636363636363,0.03224491730249751,0.03224491730249751,0.019904269939813278,0.0056869342685180796,0.0056869342685180796,0.03127813847684944,0.09667788256480736,0.010520828396758448,0.2274773707407232,0.0056869342685180796,0.022747737074072318
8482169,2024,Helge Grans,PHI,D,,6,5205,128,0,0,0,0,0,0,0,0,1,1,5,0.33,4,2,8,0.52,0.43,0.46,0.03,86.75,0.005,0.000345821325648415,0.000345821325648415,0.0,0.0,0.011527377521613832,0.011527377521613832,0.05763688760806916,0.0038040345821325652,0.04610951008645533,0.023054755043227664,0.09221902017291066
8475798,2024,Mikael Granlund,DAL,C,,83,96860,1813,0,0,0,0,0,0,22,31,13,66,169,18.6,57,19,79,0.46,0.49,0.48,47.21,1614.3333333333333,0.5687951807228916,0.0292442700805286,0.0292442700805286,0.01362791658063184,0.019202973363617593,0.008052859797646087,0.04088374974189552,0.10468717736939914,0.011521784018170557,0.03530869295890977,0.01176956431963659,0.04893660953954161
