Name,Pos,GP,Cap Hit,Length,Start Year
Shane Pinto,C,70.0,3750000.0,2.0,2024-25
Frank Vatrano,C,81.0,3650000.0,3.0,2022-23
Barclay Goodrow,C,77.0,3641667.0,6.0,2021-22
Sean Walker,D,82.0,3600000.0,5.0,2024-25
Oliver Ekman-Larsson,D,77.0,3500000.0,4.0,2024-25
David Savard,D,75.0,3500000.0,4.0,2021-22
Scott Mayfield,D,66.0,3500000.0,7.0,2023-24
Alexander Kerfoot,C,81.0,3500000.0,2.0,2023-24
Anthony Duclair,C,44.0,3500000.0,4.0,2024-25
Anthony Mantha,R,13.0,3500000.0,1.0,2024-25
Warren Foegele,L,82.0,3500000.0,3.0,2024-25
Yakov Trenin,C,76.0,3500000.0,4.0,2024-25
Thomas Novak,C,54.0,3500000.0,3.0,2024-25
Brandon Tanev,L,79.0,3500000.0,6.0,2019-20
Eeli Tolvanen,R,81.0,3475000.0,2.0,2024-25
Gabriel Vilardi,C,71.0,3437500.0,2.0,2023-24
Matias Maccelli,L,55.0,3425000.0,3.0,2023-24
Justin Holl,D,73.0,3400000.0,3.0,2023-24
Joel Armia,R,81.0,3400000.0,4.0,2021-22
Jake Walman,D,65.0,3400000.0,3.0,2023-24
Jonas Siegenthaler,D,55.0,3400000.0,5.0,2023-24
Aliaksei Protas,C,76.0,3375000.0,5.0,2024-25
Janis Jrme Moser,D,54.0,3375000.0,2.0,2024-25
Kirby Dach,C,57.0,3362500.0,4.0,2022-23
Connor Clifton,D,73.0,3333333.0,3.0,2023-24
Mario Ferraro,D,78.0,3250000.0,4.0,2022-23
Ilya Lyubushkin,D,80.0,3250000.0,3.0,2024-25
Cole Perfetti,C,82.0,3250000.0,2.0,2024-25
Adam Lowry,C,73.0,3250000.0,5.0,2021-22
Radek Faksa,C,70.0,3250000.0,5.0,2020-21
Cody Ceci,D,85.0,3250000.0,4.0,2021-22
Carson Soucy,D,75.0,3250000.0,3.0,2023-24
Dakota Joshua,L,57.0,3250000.0,4.0,2024-25
Shayne Gostisbehere,D,70.0,3200000.0,3.0,2024-25
Michael Rasmussen,C,77.0,3200000.0,4.0,2024-25
Gustav Nyquist,C,79.0,3185000.0,2.0,2023-24
Brian Dumoulin,D,80.0,3150000.0,2.0,2023-24
Erik Haula,L,69.0,3150000.0,3.0,2023-24
Nick Paul,L,76.0,3150000.0,7.0,2022-23
Ian Cole,D,82.0,3100000.0,1.0,2024-25
Henri Jokiharju,D,60.0,3100000.0,1.0,2024-25
Yegor Sharangovich,C,73.0,3100000.0,2.0,2023-24
Jordan Martinook,C,79.0,3050000.0,3.0,2024-25
Adam Henrique,C,81.0,3000000.0,2.0,2024-25
Matt Duchene,C,82.0,3000000.0,1.0,2024-25
Tyler Myers,D,71.0,3000000.0,3.0,2024-25
Jeff Skinner,C,72.0,3000000.0,1.0,2024-25
Scott Laughton,C,80.0,3000000.0,5.0,2021-22
Olli Maatta,D,77.0,3000000.0,2.0,2023-24
Trevor van Riemsdyk,D,82.0,3000000.0,3.0,2023-24
Evan Rodrigues,C,82.0,3000000.0,4.0,2023-24
Jordan Greenway,L,34.0,3000000.0,3.0,2022-23
Nicolas Roy,C,71.0,3000000.0,5.0,2022-23
